구,행정동,시설번호,시설유형,실내_실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
분당구,삼평동,681.0,주택단지,실외,봇들마을9단지 금호어울림 912동 놀이터,경기도 성남시 분당구 동판교로 156,,2009-06-08,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-20,Y,Y,N,,2025-07-05
분당구,삼평동,682.0,주택단지,실외,봇들마을9단지 금호어울림 커뮤니케이션센터 2층 놀이터,경기도 성남시 분당구 동판교로 156,,2009-06-08,민간,그네(1)+미끄럼틀(1)+흔들놀이기구(3)+오르는기구(1)+충격흡수용표면재(고무바닥재)(1),2023-04-20,Y,Y,N,,2025-07-05
분당구,정자동,810.0,도시공원,실외,철쭉(48호) 어린이공원,경기도 성남시 분당구 정자동 108,,2009-07-03,공공,그네(1)+미끄럼틀(1)+흔들놀이기구(9)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-05-31,Y,N,N,031-729-7462,2025-07-05
분당구,삼평동,874.0,주택단지,실외,봇들마을7단지 701동 전면놀이터,경기도 성남시 분당구 동판교로 155,,2009-07-15,민간,그네(1)+오르는기구(5)+건너는기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-10-25,Y,Y,N,,2025-07-05
분당구,삼평동,875.0,주택단지,실외,봇들마을7단지 702동 후면놀이터,경기도 성남시 분당구 동판교로 155,,2009-07-15,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-25,Y,Y,N,,2025-07-05
분당구,운중동,896.0,주택단지,실외,산운마을11단지 휴먼시아 1103동앞 놀이터,경기도 성남시 분당구 판교원로 68,,2009-07-17,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,,2025-07-05
분당구,운중동,897.0,주택단지,실외,산운마을11단지 휴먼시아 1105동앞 놀이터,경기도 성남시 분당구 판교원로 68,,2009-07-17,민간,흔들놀이기구(8)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,,2025-07-05
분당구,운중동,898.0,주택단지,실외,산운마을12단지 휴먼시아 1206동앞 놀이터,경기도 성남시 분당구 판교원로 46,,2009-07-17,민간,흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2023-11-01,Y,Y,N,,2025-07-05
분당구,운중동,899.0,주택단지,실외,산운마을12단지 휴먼시아 1207동앞 놀이터,경기도 성남시 분당구 판교원로 46,,2009-07-17,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-07,Y,Y,N,,2025-07-05
분당구,이매1동,915.0,도시공원,실외,과수원(20호) 어린이공원,경기도 성남시 분당구 이매동 103,,2009-07-24,공공,그네(1)+흔들놀이기구(9)+조합놀이대(2)+충격흡수용표면재(모래)(1),2023-06-05,Y,Y,N,031-729-7386,2025-07-05
분당구,판교동,941.0,주택단지,실외,판교원마을2단지푸르지오 놀이터,경기도 성남시 분당구 판교로 30,,2009-07-31,민간,그네(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-23,Y,Y,N,,2025-07-05
분당구,분당동,988.0,도시공원,실외,선지봉(42호) 어린이공원,경기도 성남시 분당구 분당동 179,,2009-08-13,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,031-729-7462,2025-07-05
분당구,정자동,1028.0,도시공원,실외,정자공원 놀이터,경기도 성남시 분당구 정자동 252,95,2009-08-21,공공,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-14,Y,Y,N,031-729-4384,2025-07-05
분당구,판교동,1115.0,주택단지,실외,판교원마을3단지 유아놀이터,경기도 성남시 분당구 판교로 20,,2009-09-03,민간,흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-02,Y,Y,N,,2025-07-05
분당구,판교동,1116.0,주택단지,실외,판교원마을3단지 산오름놀이터,경기도 성남시 분당구 판교로 20,,2009-09-03,민간,그네(1)+흔들놀이기구(1)+건너는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-23,Y,Y,N,,2025-07-05
분당구,백현동,1168.0,주택단지,실외,백현마을 6단지 휴먼시아 놀이터(1),경기도 성남시 분당구 판교역로 100,,2009-09-17,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-08,Y,Y,N,,2025-07-05
분당구,백현동,1169.0,주택단지,실외,백현마을 6단지 휴먼시아 놀이터(2),경기도 성남시 분당구 판교역로 100,,2009-09-17,민간,회전놀이기구(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-08,Y,Y,N,,2025-07-05
중원구,도촌동,1221.0,도시공원,실외,이왕이공원 놀이터,경기도 성남시 중원구 도촌동 648,,2009-10-09,공공,흔들놀이기구(3)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,N,031-729-4272,2025-07-05
분당구,이매2동,1265.0,주택단지,실외,이매촌동신3단지아파트 309동 앞,경기도 성남시 분당구 양현로94번길 28,,2009-11-23,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,,2025-07-05
분당구,구미동,1270.0,주택단지,실외,무지개마을 12단지아파트 1202동 놀이터,경기도 성남시 분당구 미금로22번길 10,,1995-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,031-715-2283,2025-07-05
분당구,구미동,1271.0,주택단지,실외,무지개마을 12단지아파트 1207동 놀이터,경기도 성남시 분당구 미금로22번길 10,430,1995-11-03,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,031-715-2283,2025-07-05
분당구,구미동,1272.0,주택단지,실외,무지개마을 12단지아파트 1208동 놀이터,경기도 성남시 분당구 미금로22번길 10,300,1995-11-03,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,031-715-2283,2025-07-05
분당구,삼평동,1341.0,주택단지,실외,봇들마을8단지 801동 놀이터,경기도 성남시 분당구 동판교로 153,,2009-11-03,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,N,N,,2025-07-05
분당구,삼평동,1342.0,주택단지,실외,봇들마을8단지 805동 놀이터,경기도 성남시 분당구 동판교로 153,,2009-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,Y,N,,2025-07-05
분당구,삼평동,1343.0,주택단지,실외,봇들마을8단지 802동 놀이터,경기도 성남시 분당구 동판교로 153,,2009-11-03,민간,회전놀이기구(1)+흔들놀이기구(3)+건너는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,Y,N,,2025-07-05
분당구,백현동,1351.0,주택단지,실외,백현마을3단지 휴먼시아 놀이터(1),경기도 성남시 분당구 동판교로 92,,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,,2025-07-05
분당구,백현동,1352.0,주택단지,실외,백현마을3단지 휴먼시아 놀이터(2),경기도 성남시 분당구 동판교로 92,,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,,2025-07-05
분당구,백현동,1353.0,주택단지,실외,백현마을3단지 휴먼시아 놀이터(3),경기도 성남시 분당구 동판교로 92,,2009-11-04,민간,흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,,2025-07-05
분당구,백현동,1354.0,주택단지,실외,백현마을3단지 휴먼시아 유아놀이터,경기도 성남시 분당구 동판교로 92,,2009-11-04,민간,오르는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,,2025-07-05
수정구,단대동,1355.0,주택단지,실외,단대 진로아파트 (106동 옆),경기도 성남시 수정구 단대로23번길 32,239,2009-11-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-04,Y,Y,N,031-732-0208,2025-07-05
분당구,야탑2동,1356.0,주택단지,실외,목련마을 두원빌리지 놀이터,경기도 성남시 분당구 야탑로231번길 35,328,2009-11-06,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-13,Y,Y,N,031-704-1861,2025-07-05
분당구,야탑2동,1382.0,도시공원,실외,시청공원 놀이터,경기도 성남시 분당구 야탑동 성남여수근린공원내,,2009-11-16,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-17,Y,Y,N,031-729-4272,2025-07-05
분당구,판교동,1401.0,주택단지,실외,판교원마을13단지 휴먼시아 313동우측 놀이터,경기도 성남시 분당구 서판교로 193,466,2009-11-18,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,031-8016-2225,2025-07-05
분당구,판교동,1402.0,주택단지,실외,판교원마을13단지 휴먼시아 313동좌측 놀이터,경기도 성남시 분당구 서판교로 193,92,2009-11-18,민간,그네(1)+흔들놀이기구(2)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,031-8016-2225,2025-07-05
분당구,야탑3동,1460.0,주택단지,실외,탑마을타워빌아파트 303동 놀이터,경기도 성남시 분당구 양현로 272,,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,,2025-07-05
분당구,야탑3동,1461.0,주택단지,실외,탑마을타워빌아파트 309동 놀이터,경기도 성남시 분당구 양현로 272,,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+철봉(2)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,,2025-07-05
분당구,야탑3동,1462.0,주택단지,실외,탑마을타워빌아파트 503동 놀이터,경기도 성남시 분당구 양현로 272,,2009-12-04,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,,2025-07-05
분당구,야탑3동,1463.0,주택단지,실외,탑마을타워빌아파트 508동 놀이터,경기도 성남시 분당구 양현로 272,,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,,2025-07-05
분당구,서현1동,1471.0,도시공원,실외,수련(36호) 어린이공원,경기도 성남시 분당구 서현동 314-1,,2009-12-09,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,031-729-7462,2025-07-05
분당구,백현동,1487.0,주택단지,실외,백현마을2단지 휴먼시아 207동뒤 놀이터,경기도 성남시 분당구 동판교로 122,,2009-12-14,민간,회전놀이기구(2)+흔들놀이기구(2)+기타(4)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,031-8016-7009,2025-07-05
분당구,백현동,1488.0,주택단지,실외,백현마을2단지 휴먼시아 209동뒤 놀이터,경기도 성남시 분당구 동판교로 122,,2009-12-14,민간,오르는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,031-8016-7009,2025-07-05
분당구,백현동,1489.0,주택단지,실외,백현마을2단지 휴먼시아 유아놀이터,경기도 성남시 분당구 동판교로 122,,2009-12-14,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,031-8016-7009,2025-07-05
분당구,백현동,1490.0,주택단지,실외,백현마을2단지 휴먼시아  211동앞 놀이터,경기도 성남시 분당구 동판교로 122,,2009-12-14,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,031-8016-7009,2025-07-05
분당구,백현동,1491.0,주택단지,실외,백현마을2단지 휴먼시아 207동옆 놀이터,경기도 성남시 분당구 동판교로 122,,2009-12-14,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-01-06,Y,Y,N,031-8016-7009,2025-07-05
분당구,삼평동,1510.0,도시공원,실외,봇들(판교17호) 어린이공원,경기도 성남시 분당구 삼평동 729,250,2009-12-04,공공,흔들놀이기구(4)+오르는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-14,Y,Y,N,031-729-7386,2025-07-05
분당구,삼평동,1511.0,도시공원,실외,송현(판교10호) 어린이공원,경기도 성남시 분당구 삼평동 707,386.6,2009-12-04,공공,미끄럼틀(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-05,Y,Y,N,031-729-7386,2025-07-05
분당구,삼평동,1512.0,도시공원,실외,삼평(판교11호) 어린이공원,경기도 성남시 분당구 삼평동 731,379.9,2009-12-04,공공,흔들놀이기구(2)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-05,Y,Y,N,031-729-7386,2025-07-05
분당구,정자동,1520.0,도시공원,실외,불정(54호) 어린이공원,경기도 성남시 분당구 정자동 204,452,2009-12-24,공공,그네(1)+흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-05-31,Y,Y,N,031-729-7462,2025-07-05
분당구,야탑2동,1658.0,도시공원,실외,오야소(12호) 어린이공원,경기도 성남시 분당구 야탑동 509,319,2010-03-23,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
분당구,야탑2동,1659.0,도시공원,실외,매향(5호) 어린이공원,경기도 성남시 분당구 야탑동 214-1,420,2010-03-23,공공,그네(1)+흔들놀이기구(7)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
수정구,신흥2동,2131.0,어린이집,실외,신흥제2어린이집 놀이터(공공),경기도 성남시 수정구 수정로257번길 18,140,2010-11-08,공공,흔들놀이기구(4)+조합놀이대(2)+충격흡수용표면재(고무바닥재)(1),2022-10-04,Y,Y,N,031-745-4200,2025-07-05
분당구,서현1동,2154.0,주택단지,실외,효자촌 대명연립아파트 놀이터,경기도 성남시 분당구 분당로263번길 67,,2010-06-21,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-09-06,Y,Y,N,,2025-07-05
분당구,야탑2동,2205.0,도시공원,실외,양촌(8호) 어린이공원,경기도 성남시 분당구 야탑동 178,313,2010-06-29,공공,그네(1)+흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2023-06-02,Y,Y,N,031-729-7386,2025-07-05
분당구,야탑2동,2207.0,도시공원,실외,무잡모퉁이(13호) 어린이공원,경기도 성남시 분당구 야탑동 529,331,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
분당구,야탑2동,2208.0,도시공원,실외,장승백이(14호) 어린이공원,경기도 성남시 분당구 야탑동 516,336,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(2)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,031-729-7386,2025-07-05
분당구,야탑2동,2209.0,도시공원,실외,신일(18호) 어린이공원,경기도 성남시 분당구 야탑동 164,237,2010-06-29,공공,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
분당구,이매1동,2211.0,도시공원,실외,매송(22호) 어린이공원,경기도 성남시 분당구 이매동 144,542,2010-06-29,공공,그네(1)+회전놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
분당구,이매1동,2212.0,도시공원,실외,방아다리(23호) 어린이공원,경기도 성남시 분당구 이매동 114,429,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-28,Y,Y,N,031-729-7386,2025-07-05
분당구,이매1동,2213.0,도시공원,실외,구렛들(25호) 어린이공원,경기도 성남시 분당구 이매동 119,365,2010-06-29,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7386,2025-07-05
분당구,서현1동,2214.0,도시공원,실외,솔밭(27호) 어린이공원,경기도 성남시 분당구 서현동 78-4,213,2010-06-29,공공,조합놀이대(1)+충격흡수용표면재(모래)(1),2023-06-01,Y,Y,N,031-729-7462,2025-07-05
분당구,금곡동,2226.0,도시공원,실외,앞구미(57호) 어린이공원,경기도 성남시 분당구 금곡동 135,179.2,2010-07-01,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,031-729-7462,2025-07-05
중원구,하대원동,2282.0,도시공원,실외,대원공원 놀이터(1),경기도 성남시 중원구 하대원동 204-2,314,2010-07-14,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2023-07-26,Y,Y,N,031-729-4272,2025-07-05
수정구,복정동,2540.0,어린이집,실외,복정어린이집 놀이터(공공),경기도 성남시 수정구 복정로96번길 30-1,256,2010-09-09,공공,흔들놀이기구(2)+조합놀이대(2)+충격흡수용표면재(고무바닥재)(1),2023-04-25,Y,Y,N,031-753-5510,2025-07-05
분당구,구미동,2571.0,주택단지,실외,하얀마을 주공5단지 관리동옆 유아놀이터,경기도 성남시 분당구 미금일로 21,,2010-09-15,민간,흔들놀이기구(2)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,031-717-3403,2025-07-05
분당구,구미동,2572.0,주택단지,실외,하얀마을 주공5단지 501동옆 놀이터,경기도 성남시 분당구 미금일로 21,,2010-09-15,민간,조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,031-717-3403,2025-07-05
분당구,구미동,2573.0,주택단지,실외,하얀마을 주공5단지 504동옆 놀이터,경기도 성남시 분당구 미금일로 21,,2010-09-15,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,031-717-3403,2025-07-05
분당구,운중동,2625.0,주택단지,실외,산운마을 판교윌든힐스3단지 놀이터,경기도 성남시 분당구 산운로 55,,2010-10-05,민간,미끄럼틀(2)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-02,Y,Y,N,,2025-07-05
분당구,서현1동,2832.0,주택단지,실외,서현 포스파크빌라 103동 놀이터,경기도 성남시 분당구 새마을로83번길 15,,2010-11-16,민간,회전놀이기구(1)+흔들놀이기구(3)+충격흡수용표면재(모래)(1),2022-09-14,Y,Y,N,02-6210-2317,2025-07-05
분당구,서현1동,2833.0,주택단지,실외,서현 포스파크빌라 102동 놀이터,경기도 성남시 분당구 새마을로83번길 15,,2010-11-16,민간,그네(1)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-09-14,Y,Y,N,02-6210-2317,2025-07-05
중원구,상대원3동,2834.0,주택단지,실외,상대원 산성아파트 놀이터,경기도 성남시 중원구 사기막골로150번길 10,243,1997-09-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-01-02,Y,Y,N,031-733-1024,2025-07-05
분당구,구미1동,2849.0,주택단지,실외,까치마을 우방우성빌라 107동 놀이터,경기도 성남시 분당구 금곡로 201,238,1994-11-30,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-10-31,Y,Y,N,031-712-4555,2025-07-05
분당구,수내2동,2861.0,주택단지,실외,푸른마을아파트 102동 놀이터,경기도 성남시 분당구 수내로 206,,2010-11-24,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-07,Y,Y,N,,2025-07-05
분당구,수내2동,2862.0,주택단지,실외,푸른마을아파트 201동 놀이터,경기도 성남시 분당구 수내로 206,,2010-11-24,민간,흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-07,Y,Y,N,,2025-07-05
분당구,수내2동,2863.0,주택단지,실외,푸른마을아파트 502동 놀이터,경기도 성남시 분당구 수내로 206,,2010-11-24,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-07,Y,Y,N,,2025-07-05
분당구,수내2동,2864.0,주택단지,실외,푸른마을아파트 510동 놀이터,경기도 성남시 분당구 수내로 206,,2010-11-24,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-07,Y,Y,N,,2025-07-05
